"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1110742","Child Care Center","Agape Head Start","1037 University Ave W","","","Saint Paul","MN","55104-4788","Ramsey","(651) 744-7970","Active","Community Action Partnership of Ramsey and Washington Counties","54 ","Ages Served: Infants Toddlers Preschool","Until a food license is awarded, staff may mix the infant formula in the classrooms if they first wash their hands and wash and sanitize any dishes/utensils in the school’s licensed kitchen.","Services: Day Program","Minnesota Department of Human Services","11/08/2021","01/01/2026","12/31/2026","   ","",
"830242","Child Care Center","Agape I Child Development Center","2304 Emerson Ave N","","","Minneapolis","MN","55411-2050","Hennepin","(612) 287-9775","Active","Agape Child Development Center","128","Ages Served: Infants Toddlers Preschool School-Age","Open 24 Hours a Day","Services: Day Program, Night Care Program","Minnesota Department of Human Services","08/01/1997","01/01/2026","12/31/2026","   ","",
"2001802","Child Care Center","Agape Spanish Immersion Academy","14663 Mercantile Dr N","","","Hugo","MN","55038     ","Washington","","Active","Agape LLC","30 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/06/2025","12/30/2025","12/31/2026","   ","",
"1017825","Child Care Center","Al Amal Preschool","1401 Gardena Ave NE Rm 103","","","Fridley","MN","55432-5815","Anoka","(763) 571-8886","Active","Al-Amal School","50 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/30/2002","01/01/2026","12/31/2026","   ","",
"2002271","Child Care Center","Albertville KinderCare","5951 Labeaux Ave NE","","","Albertville","MN","55301     ","Wright","(253) 987-9664","Active","KinderCare Education LLC","140","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/18/2026","08/18/2026","12/31/2026","   ","",
"830800","Child Care Center","ALC Child Care Center","37 Woodlake Dr SE","","","Rochester","MN","55904-5509","Olmsted","(507) 328-3980","Active","Rochester Public School District 0535-01","14 ","Ages Served: Infants Toddlers","None","Services: Day Program","Minnesota Department of Human Services","09/02/1998","01/01/2026","12/31/2026","   ","",
"800058","Child Care Center","Aldrich Memorial Nursery School","855 Essex Pkwy NW","","","Rochester","MN","55901-3422","Olmsted","(507) 289-3097","Active","Aldrich Memorial Nursery School, Incorporated","168","Ages Served: Toddlers Preschool","Maximum number of Toddlers or Preschool in the 2 Year Old- Room 1 is 14.; Maximum number of Toddlers or Preschool in the 2 Year Old- Room 2 is 14.","Services: Day Program","Minnesota Department of Human Services","11/27/1943","01/01/2026","12/31/2026","   ","",
"802771","Child Care Center","Alexandria Area YMCA Center east","110 Karl Dr","","","Alexandria","MN","56308-5264","Douglas","(320) 834-9622","Active","Alexandria Area Young Men's Christian Association","124","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/16/1986","01/01/2026","12/31/2026","   ","",
"1092113","Child Care Center","Alexandria Area YMCA Center South","420 12th Ave E","","","Alexandria","MN","56308-2612","Douglas","(320) 834-9622","Active","Alexandria Area Young Men's Christian Association","50 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/18/2018","01/01/2026","12/31/2026","   ","",
"807340","Child Care Center","All 'bout Children Daycare","300 1st Ave NW","","","Plainview","MN","55964-1211","Wabasha","(507) 534-2424","Active","All 'bout Children, Inc.","63 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/16/1994","01/01/2026","12/31/2026","   ","",
"1082560","Child Care Center","All Ages & Faces Academy","580 Fuller Ave","","","Saint Paul","MN","55103-2245","Ramsey","(651) 488-2097","Active","All Ages & Faces Academy LIMITED","78 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","10/05/2016","01/01/2026","12/31/2026","   ","",
"1059664","Child Care Center","All God's Children Christian Learning Center","16120 Cedar Ave S","","","Rosemount","MN","55068-1022","Dakota","","Active","Rainbows & Sunshine LLC","39 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/12/2011","01/01/2026","12/31/2026","   ","",
"1065334","Child Care Center","All Pro Childcare LLC","503 Hawthorne St Ste 103","","","Alexandria","MN","56308-1992","Douglas","(320) 766-8708","Active","All-Pro Childcare Center L. L. C.","73 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/15/2013","08/07/2026","12/31/2026","   ","",
"1046978","Child Care Center","All Saints Academy Child Care","PO Box 158","605 4th St #","","Madison Lake","MN","56063-0158","Blue Earth","(507) 243-3819","Active","All Saints Parish of Madison Lake,Inc.","122","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/2007","01/01/2026","12/31/2026","   ","",
"1079708","Child Care Center","All Saints Academy St Cloud Campus","1215 11th Ave N","","","Saint Cloud","MN","56303-2712","Stearns","(320) 251-5295","Active","All Saints Academy","44 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/30/2016","01/01/2026","12/31/2026","   ","",
"1086686","Child Care Center","All Saints Academy St Joseph Campus","32 W Minnesota St","","","Saint Joseph","MN","56374-8654","Stearns","(320) 363-7505","Active","All Saints Academy","38 ","Ages Served: Preschool","Per state fire marshal, maximum capacity for classroom 202 is 18.","Services: Day Program","Minnesota Department of Human Services","08/31/2017","01/01/2026","12/31/2026","   ","",
"1018410","Child Care Center","All Saints Catholic Preschool","19795 Holyoke Ave","","","Lakeville","MN","55044-8816","Dakota","(952) 985-9936","Active","The Church of All Saints of Lakeville, Minnesota","38 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/23/2002","01/01/2026","12/31/2026","   ","",
"800064","Child Care Center","All Saints Child Care Center","15915 Excelsior Blvd","","","Minnetonka","MN","55345-5628","Hennepin","(952) 934-4156","Active","All Saints Lutheran Church, Minnetonka","66 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/03/1985","01/01/2026","12/31/2026","   ","",
"800065","Child Care Center","All Saints Preschool","15915 Excelsior Blvd","","","Minnetonka","MN","55345-5628","Hennepin","(952) 934-3552","Active","All Saints Lutheran Church, Minnetonka","70 ","Ages Served: Toddlers Preschool","Per Fire Marshall, program may not have any toddlers under 30 months of age.","Services: Day Program","Minnesota Department of Human Services","01/01/1966","01/01/2026","12/31/2026","   ","",
"1054093","Child Care Center","All Seasons Preschool","7260 S Robert Trl Ste A","","","Inver Grove Heights","MN","55077-2712","Dakota","(651) 450-0606","Active","All Seasons Preschool at Inver Glen, LLC","60 ","Ages Served: Toddlers Preschool","Not to exceed 10 school aged children up to seven years of age during summer camp","Services: Day Program","Minnesota Department of Human Services","10/05/2009","01/01/2026","12/31/2026","   ","",
"1103909","Child Care Center","All Seasons Preschool of Eagan LLC","3385 Discovery Rd","","","Eagan","MN","55121-2167","Dakota","(952) 466-1471","Active","All Seasons Preschool of Eagan, LLC","50 ","Ages Served: Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/09/2020","01/01/2026","12/31/2026","   ","",
"1101499","Child Care Center","All Smiles Daycare Center","4102 W County Road 42","","","Savage","MN","55378-2023","Scott","(612) 481-0610","Active","All Smiles Child Daycare Center L.L.C.","64 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/05/2020","01/06/2026","12/31/2026","   ","",
"1046877","Child Care Center","All Stars Montessori, LLC","5920 148th St W Ste 200","","","Saint Paul","MN","55124-8242","Dakota","(952) 432-2422","Active","All Stars Montessori, LLC","124","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/02/2007","01/01/2026","12/31/2026","   ","",
"1049848","Child Care Center","Allstar","980 10th St NE","","","Milaca","MN","56353-1809","Mille Lacs","","Active","Allstar Childcare Center Inc.","129","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/27/2008","01/01/2026","12/31/2026","   ","",
"1104621","Child Care Center","Alma Flor Ada Woodbury Spanish Immersion Early Learning Academy","8420 City Centre Dr","","","Woodbury","MN","55125     ","Washington","(651) 999-3952","Active","Woodbury Spanish Immersion Early Learning Academy, LLC","104","Ages Served: Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/09/2020","01/01/2026","12/31/2026","   ","",
"1113759","Child Care Center","Alphabet Child Care Center L.L.C.","3015 12th Ave S Ste 101","","","Minneapolis","MN","55407     ","Hennepin","(612) 404-4961","Active","Alphabet Child Care Center L.L.C.","89 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","02/27/2024","01/01/2026","12/31/2026","   ","",
"2001673","Child Care Center","Amal Learning Center LLC","1026 Front Ave","","","Saint Paul","MN","55103     ","Ramsey","(651) 846-9772","Active","Amal Learning Center LLC","47 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","01/28/2026","01/28/2026","12/31/2026","   ","",
"1054231","Child Care Center","Amazing Beginnings Montessori & Child Care","3105 65th St E","","","Inver Grove Heights","MN","55076-4499","Dakota","(651) 451-4433","Active","Dove Child Care Inc.","100","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of children in the Pre-K/School age classroom is 10.","Services: Day Program","Minnesota Department of Human Services","07/24/2009","01/01/2026","12/31/2026","   ","",
"1044123","Child Care Center","American Montessori","14401 Pilot Knob Rd","","","Apple Valley","MN","55124-6610","Dakota","(952) 736-1004","Active","American Montessori, Inc.","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/16/2007","01/01/2026","12/31/2026","   ","",
"1098076","Child Care Center","Anders Early Learning Center","309 10th St S","","","Cleveland","MN","56017-2601","Le Sueur","(507) 931-0077","Active","Anders Early Learning Center Inc","72 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/18/2019","01/01/2026","12/31/2026","   ","",
"2000093","Child Care Center","ANEW Child Care Center","425 Etna St Ste 35-38","","","Saint Paul","MN","55106     ","Ramsey","(651) 300-4495","Active","ANEW LLC","45 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","05/20/2024","01/01/2026","12/31/2026","   ","",
"800081","Child Care Center","Anew Dimension Child Enrichment Center","1819 Minnehaha Ave","","","Minneapolis","MN","55404     ","Hennepin","(612) 339-2333","Active","Anew Dimension Child Enrichment Center","93 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/06/1987","01/01/2026","12/31/2026","   ","",
"1066707","Child Care Center","Angels Learning Center","7624 Brooklyn Blvd","","","Brooklyn Park","MN","55443-3103","Hennepin","(763) 300-2544","Active","Angel's Learning Center LLC","75 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","10/14/2013","01/01/2026","12/31/2026","   ","",
"1079345","Child Care Center","Angie's Learning Center","617 E Main St","","","Belle Plaine","MN","56011-2213","Scott","(952) 873-3951","Active","Angie's Infant and Toddler Daycare LLC","148","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/15/2016","01/01/2026","12/31/2026","   ","",
"1080548","Child Care Center","Anna's Bananas Daycare & Preschool","10487 165th St W","","","Lakeville","MN","55044-5638","Dakota","(952) 236-0237","Active","Anna's Bananas Day Care Inc.","129","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of Toddlers in the Tator classroom is 15.; Maximum number of Preschool in the Toddler classroom is 20.; Maximum number of School Age in the Preschool 2 classroom is 5.","Services: Day Program","Minnesota Department of Human Services","08/15/2016","01/01/2026","12/31/2026","   ","",
"1077930","Child Care Center","Anna's Bananas Daycare & Preschool Inc","6700 160th St W","","","Rosemount","MN","55068-1901","Dakota","(952) 683-9200","Active","Anna's Bananas Day Care Inc.","99 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of Infants in the Tator classroom is 7.; Maximum number of School age in the Pre/SA Combination classroom is 10.; Maximum number of toddlers or preschool in the Tod/Pre Combination classroom is 28.","Services: Day Program","Minnesota Department of Human Services","06/01/2015","01/01/2026","12/31/2026","   ","",
"1041366","Child Care Center","Anna's Bananas Daycare & Preschool Inc","12018 County Road 11","","","Burnsville","MN","55337-3016","Dakota","(952) 707-1814","Active","Anna's Bananas Day Care Inc.","107","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of School age in the Pre 2 classroom is 10.","Services: Day Program","Minnesota Department of Human Services","05/19/2006","01/01/2026","12/31/2026","   ","",
"1053790","Child Care Center","Anna's Bananas Daycare & Preschool Inc","7765 147th St W","","","Apple Valley","MN","55124-7568","Dakota","(952) 431-7998","Active","Anna's Bananas Day Care Inc.","118","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of School Age in the PreK classroom is 10.","Services: Day Program","Minnesota Department of Human Services","01/04/2010","01/01/2026","12/31/2026","   ","",
"1064366","Child Care Center","Anna's Bananas Daycare and Preschool","516 5th St W","","","Northfield","MN","55057-1720","Rice","(507) 645-5050","Active","Anna's Bananas Day Care Inc.","95 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of School Age in the Preschool 2 classroom is 10.; Maximum number of Infants in the Tater classroom is 12.; Maximum number of Toddlers in the Preschool 1 classroom is 14.","Services: Day Program","Minnesota Department of Human Services","03/04/2013","01/01/2026","12/31/2026","   ","",
"1003090","Child Care Center","Anna's Bananas Daycare and Preschool Inc","21220 Chippendale Ave W","","","Farmington","MN","55024-1400","Dakota","(651) 460-8488","Active","Anna's Bananas Day Care Inc.","204","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of Toddlers in the Transition Tod/Pre classroom is 14.","Services: Day Program","Minnesota Department of Human Services","01/01/2000","01/01/2026","12/31/2026","   ","",
"1046878","Child Care Center","Annies Childcare & Learning Center","9630 Ostrowski Way","","","Brainerd","MN","56401-1615","Crow Wing","","Active","Annie's Childcare & Learning Center, Inc.","64 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school-age children in the preschool classroom is five.","Services: Day Program","Minnesota Department of Human Services","09/04/2007","01/01/2026","12/31/2026","   ","",
"1066782","Child Care Center","Annies Childcare & Learning Center","501 W College Dr","","","Brainerd","MN","56401-3904","Crow Wing","","Active","Annie's Childcare & Learning Center, Inc.","84 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/11/2013","01/01/2026","12/31/2026","   ","",
"2002395","Child Care Center","Annunciation Catholic School Preschool","525 W 54th St","","","Minneapolis","MN","55419     ","Hennepin","","Active","The Church of the Annunciation of Minneapolis","50 ","Ages Served: Preschool","Per State Fire Marshal, the Facility does not meet requirements but may temporarily be occupied until 10/24/26 pending completion of orders.","Services: Day Program","Minnesota Department of Human Services","06/01/2026","08/28/2026","12/31/2026","   ","",
"1053178","Child Care Center","Apple Academy Learning Center LLC","1845 Main St","","","Centerville","MN","55038-9794","Anoka","(651) 762-8911","Active","Apple Academy Learning Center LLC","123","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of toddlers in the Green Preschool Room is 8.","Services: Day Program","Minnesota Department of Human Services","01/28/2009","01/01/2026","12/31/2026","   ","",
"1074885","Child Care Center","Apple Academy Learning Center LLC Wyoming","26427 Forest Blvd","","","Wyoming","MN","55092     ","Chisago","(651) 462-8772","Active","Apple Academy Learning Center- Wyoming L. L. C.","98 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/26/2015","01/01/2026","12/31/2026","   ","",
"1114837","Child Care Center","Apple Academy Learning Plus LLC","5350 E Viking Blvd","","","Wyoming","MN","55092     ","Chisago","(651) 502-8782","Active","Apple Academy Learning Plus LLC","28 ","Ages Served: Infants","Per Health Inspector, no food may be stored on site until kitchen is finished.","Services: Day Program","Minnesota Department of Human Services","04/12/2023","01/01/2026","12/31/2026","   ","",
"1087704","Child Care Center","Apple Child Care Center Inc","3110 Emerson Ave N","","","Minneapolis","MN","55411-1366","Hennepin","(612) 395-5215","Active","Apple Child Care Center Inc.","82 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/27/2017","01/01/2026","12/31/2026","   ","",
"2001655","Child Care Center","Apple Child Care Inc.","2800 1st Ave S","","","Minneapolis","MN","55408     ","Hennepin","(612) 200-8939","Active","Apple Child Care Inc","80 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/03/2026","08/03/2026","12/31/2026","   ","",
"830687","Child Care Center","Apple Lane Community Child Care Center","1900 8th Ave NW","","","Austin","MN","55912-1473","Mower","","Active","Apple Lane Community Child Care Center","198","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/01/1998","01/01/2026","12/31/2026","   ","",
"800103","Child Care Center","Apple Tree Learning Center","1250 Industrial Park","","","Eveleth","MN","55734     ","St. Louis","","Active","Iron Range Learning and Development Center","148","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/15/1982","01/01/2026","12/31/2026","   ","",
"1036683","Child Care Center","Apple Valley Head Start","14603 Hayes Rd","","","Apple Valley","MN","55124     ","Dakota","","Active","Scott-Carver-Dakota CAP Agency, Inc.","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/12/2005","01/01/2026","12/31/2026","   ","",
"1005117","Child Care Center","Appleseed Montessori School & Child Care Center, Inc.","6601 Bloomington Ave","","","Richfield","MN","55423     ","Hennepin","(612) 866-0038","Active","Appleseed Montessori School, Inc.","103","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","07/05/2000","01/01/2026","12/31/2026","   ","",
"1077407","Child Care Center","Appletime Inc","21051 John Milless Dr","","","Rogers","MN","55374-9464","Hennepin","","Active","Appletime Inc.","115","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2016","01/01/2026","12/31/2026","   ","",
"1033610","Child Care Center","Ark of Angels Montessori Preschool","213 Willard St E","","","Stillwater","MN","55082-5114","Washington","(651) 379-1269","Active","St. Croix Catholic School","30 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/06/2005","01/29/2026","12/31/2026","   ","",
"1107052","Child Care Center","ARTA Child Care Inc","3401 Chicago Ave","","","Minneapolis","MN","55407-2107","Hennepin","(612) 886-2223","Pending Reopening as of 10/17/2025","ARTA Child Care Inc.","33 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of infants in the Infant/Toddler Classroom is 4 children.","Services: Day Program","Minnesota Department of Human Services","01/01/2022","01/01/2026","12/31/2026","   ","",
"1116684","Child Care Center","Ascension Catholic School","1726 DuPont Ave N","","","Minneapolis","MN","55411-3219","Hennepin","(612) 436-0219","Active","The Church of the Ascension of Minneapolis, Minnesota","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/21/2023","01/01/2026","12/31/2026","   ","",
"1009422","Child Care Center","Ascension Lutheran Preschool","15870 46th Ave N","","","Plymouth","MN","55446-2176","Hennepin","(763) 559-0579","Active","Ascension Evangelical Lutheran Church, Inc. of Plymouth, Minnesota","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/05/2001","01/13/2026","12/31/2026","   ","",
"1117155","Child Care Center","Asho Child Care Center","1402 1st Ave S","","","Minneapolis","MN","55403     ","Hennepin","(763) 267-2825","Conditional as of 08/23/2025","Asho Child Care Center LLC","88 ","Ages Served: Infants Toddlers Preschool School-Age","Conditional License from 8/23/2025 through 8/23/2027.","Services: Day Program","Minnesota Department of Human Services","11/28/2023","01/01/2026","12/31/2026","   ","",
"800130","Child Care Center","Associated Preschool","800 Havana Rd","","","Owatonna","MN","55060     ","Steele","(507) 451-0041","Active","The Associated Church, Owatonna, Minnesota","24 ","Ages Served: Preschool","None","","Minnesota Department of Human Services","10/01/1963","01/01/2026","12/31/2026","   ","",
"2001643","Child Care Center","Assumption Catholic School Pre-Kindergarten","2310 7th Ave E","","","Hibbing","MN","55746     ","St. Louis","(218) 263-3054","Active","Assumption Catholic School/Blessed Sacrament","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/13/2026","04/13/2026","12/31/2026","   ","",
"1081337","Child Care Center","Aubrey Della Early Childhood Family Development Center","6415 Brooklyn Blvd","","","Brooklyn Center","MN","55429-2174","Hennepin","(763) 535-7422","Active","Parents in Community Action, Inc.","84 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/21/2016","01/01/2026","12/31/2026","   ","",
